176 512 512
190 387 -1 1
190 386 -1 1
215 385 -1 1
215 384 -1 1
220 368 -1 1
199 358 -1 1
198 358 -1 1
197 357 -1 1
229 352 -1 1
130 343 -1 1
284 339 -1 1
246 338 -1 1
130 338 -1 1
204 335 -1 1
203 334 -1 1
136 334 -1 1
232 328 -1 1
175 325 -1 1
295 323 -1 1
303 322 -1 1
295 322 -1 1
314 319 -1 1
273 319 -1 1
132 316 -1 1
131 316 -1 1
131 315 -1 1
125 314 -1 1
276 313 -1 1
225 313 -1 1
225 312 -1 1
135 312 -1 1
133 312 -1 1
133 311 -1 1
213 310 -1 1
144 310 -1 1
144 309 -1 1
185 308 -1 1
99 307 -1 1
99 306 -1 1
323 305 -1 1
336 302 -1 1
189 302 -1 1
188 301 -1 1
187 300 -1 1
231 298 -1 1
332 297 -1 1
262 297 -1 1
248 295 -1 1
219 295 -1 1
326 294 -1 1
181 293 -1 1
350 290 -1 1
155 288 -1 1
360 288 -1 1
361 287 -1 1
276 287 -1 1
362 286 -1 1
294 285 -1 1
347 284 -1 1
250 279 -1 1
226 276 -1 1
227 276 -1 1
331 274 -1 1
301 274 -1 1
323 273 -1 1
135 272 -1 1
310 270 -1 1
312 269 -1 1
311 269 -1 1
314 269 -1 1
310 269 -1 1
370 266 -1 1
301 265 -1 1
217 263 -1 1
245 260 -1 1
246 260 -1 1
211 259 -1 1
159 259 -1 1
212 258 -1 1
326 257 -1 1
333 257 -1 1
295 257 -1 1
326 256 -1 1
240 254 -1 1
300 254 -1 1
241 254 -1 1
206 254 -1 1
152 254 -1 1
268 253 -1 1
343 252 -1 1
365 251 -1 1
366 251 -1 1
304 251 -1 1
314 248 -1 1
264 248 -1 1
265 248 -1 1
286 247 -1 1
361 241 -1 1
316 241 -1 1
315 241 -1 1
315 240 -1 1
296 237 -1 1
277 237 -1 1
155 237 -1 1
307 237 -1 1
307 236 -1 1
279 236 -1 1
240 235 -1 1
241 235 -1 1
376 234 -1 1
161 233 -1 1
326 233 -1 1
163 233 -1 1
162 233 -1 1
344 232 -1 1
245 232 -1 1
162 232 -1 1
343 232 -1 1
246 232 -1 1
382 230 -1 1
382 229 -1 1
354 229 -1 1
344 228 -1 1
344 226 -1 1
344 224 -1 1
205 223 -1 1
317 222 -1 1
260 222 -1 1
366 221 -1 1
309 221 -1 1
207 221 -1 1
310 221 -1 1
332 220 -1 1
331 220 -1 1
291 219 -1 1
331 219 -1 1
292 219 -1 1
253 216 -1 1
339 216 -1 1
269 216 -1 1
254 216 -1 1
257 213 -1 1
357 212 -1 1
299 212 -1 1
344 210 -1 1
221 209 -1 1
330 209 -1 1
329 209 -1 1
220 209 -1 1
330 208 -1 1
311 206 -1 1
311 205 -1 1
223 205 -1 1
199 204 -1 1
358 203 -1 1
361 200 -1 1
375 194 -1 1
369 194 -1 1
374 194 -1 1
370 194 -1 1
373 193 -1 1
179 191 -1 1
189 188 -1 1
189 179 -1 1
189 178 -1 1
210 176 -1 1
193 172 -1 1
203 171 -1 1
222 166 -1 1
189 165 -1 1
190 165 -1 1
210 160 -1 1
225 153 -1 1
209 153 -1 1
224 131 -1 1
225 131 -1 1
