126 512 512
315 386 -1 1
314 386 -1 1
330 380 -1 1
275 378 -1 1
333 375 -1 1
277 365 -1 1
278 365 -1 1
334 364 -1 1
333 363 -1 1
260 360 -1 1
261 359 -1 1
296 358 -1 1
295 358 -1 1
263 358 -1 1
262 358 -1 1
262 357 -1 1
270 357 -1 1
261 356 -1 1
328 354 -1 1
293 354 -1 1
327 354 -1 1
292 354 -1 1
316 352 -1 1
315 352 -1 1
264 349 -1 1
312 348 -1 1
311 348 -1 1
237 346 -1 1
221 346 -1 1
283 344 -1 1
283 343 -1 1
295 341 -1 1
295 340 -1 1
270 338 -1 1
220 331 -1 1
222 329 -1 1
279 325 -1 1
213 325 -1 1
213 324 -1 1
288 323 -1 1
228 323 -1 1
270 320 -1 1
297 314 -1 1
228 311 -1 1
275 308 -1 1
294 306 -1 1
313 306 -1 1
313 305 -1 1
310 303 -1 1
201 303 -1 1
310 302 -1 1
202 302 -1 1
307 300 -1 1
307 299 -1 1
236 298 -1 1
237 298 -1 1
304 297 -1 1
304 296 -1 1
319 282 -1 1
342 278 -1 1
342 277 -1 1
266 277 -1 1
274 274 -1 1
241 273 -1 1
342 260 -1 1
238 260 -1 1
342 259 -1 1
338 254 -1 1
341 253 -1 1
340 253 -1 1
338 253 -1 1
316 253 -1 1
315 253 -1 1
316 252 -1 1
349 249 -1 1
349 248 -1 1
348 248 -1 1
211 247 -1 1
338 243 -1 1
338 242 -1 1
341 227 -1 1
293 219 -1 1
347 217 -1 1
337 214 -1 1
281 213 -1 1
260 212 -1 1
231 212 -1 1
261 212 -1 1
193 211 -1 1
192 210 -1 1
193 210 -1 1
335 205 -1 1
206 200 -1 1
329 179 -1 1
288 175 -1 1
206 174 -1 1
205 174 -1 1
207 172 -1 1
283 172 -1 1
208 172 -1 1
270 171 -1 1
228 170 -1 1
212 170 -1 1
319 169 -1 1
327 167 -1 1
328 166 -1 1
330 165 -1 1
323 165 -1 1
299 165 -1 1
229 165 -1 1
330 164 -1 1
242 164 -1 1
198 157 -1 1
198 156 -1 1
322 154 -1 1
323 153 -1 1
322 153 -1 1
306 151 -1 1
300 151 -1 1
203 143 -1 1
276 138 -1 1
308 136 -1 1
311 135 -1 1
311 134 -1 1
320 130 -1 1
214 110 -1 1
