481 512 512
151 471 -1 1
235 470 -1 1
234 470 -1 1
175 463 -1 1
174 463 -1 1
132 460 -1 1
167 458 -1 1
167 457 -1 1
274 457 -1 1
274 456 -1 1
184 456 -1 1
192 455 -1 1
245 454 -1 1
244 452 -1 1
167 452 -1 1
132 445 -1 1
410 443 -1 1
131 442 -1 1
185 438 -1 1
122 437 -1 1
113 432 -1 1
114 432 -1 1
231 426 -1 1
422 425 -1 1
122 423 -1 1
122 422 -1 1
86 422 -1 1
254 421 -1 1
385 420 -1 1
105 419 -1 1
313 419 -1 1
313 418 -1 1
422 418 -1 1
300 413 -1 1
299 412 -1 1
71 412 -1 1
430 412 -1 1
257 412 -1 1
113 412 -1 1
103 412 -1 1
70 412 -1 1
272 411 -1 1
70 411 -1 1
63 411 -1 1
320 410 -1 1
319 410 -1 1
295 410 -1 1
294 409 -1 1
241 408 -1 1
304 407 -1 1
194 407 -1 1
431 406 -1 1
194 406 -1 1
286 403 -1 1
285 402 -1 1
129 402 -1 1
95 402 -1 1
129 401 -1 1
95 401 -1 1
283 400 -1 1
282 399 -1 1
73 399 -1 1
426 398 -1 1
368 397 -1 1
232 397 -1 1
367 396 -1 1
248 393 -1 1
226 393 -1 1
241 393 -1 1
420 391 -1 1
440 389 -1 1
135 388 -1 1
331 387 -1 1
135 387 -1 1
332 387 -1 1
379 386 -1 1
70 386 -1 1
70 385 -1 1
414 385 -1 1
293 385 -1 1
264 385 -1 1
54 383 -1 1
55 383 -1 1
441 382 -1 1
44 381 -1 1
302 380 -1 1
302 379 -1 1
301 379 -1 1
339 378 -1 1
293 376 -1 1
352 376 -1 1
319 376 -1 1
210 376 -1 1
352 375 -1 1
351 375 -1 1
210 375 -1 1
340 369 -1 1
52 368 -1 1
52 367 -1 1
314 364 -1 1
315 364 -1 1
338 363 -1 1
58 362 -1 1
264 357 -1 1
442 354 -1 1
441 354 -1 1
442 353 -1 1
308 348 -1 1
148 347 -1 1
413 345 -1 1
248 345 -1 1
153 343 -1 1
152 343 -1 1
153 342 -1 1
152 342 -1 1
199 339 -1 1
52 339 -1 1
414 339 -1 1
430 338 -1 1
429 338 -1 1
432 331 -1 1
46 331 -1 1
431 330 -1 1
257 328 -1 1
163 328 -1 1
332 328 -1 1
164 328 -1 1
95 324 -1 1
234 319 -1 1
235 318 -1 1
289 316 -1 1
189 314 -1 1
192 313 -1 1
191 313 -1 1
355 312 -1 1
192 312 -1 1
191 311 -1 1
121 311 -1 1
122 310 -1 1
440 308 -1 1
439 307 -1 1
425 304 -1 1
238 303 -1 1
470 302 -1 1
321 302 -1 1
461 301 -1 1
69 298 -1 1
68 298 -1 1
69 297 -1 1
69 295 -1 1
275 293 -1 1
69 292 -1 1
71 290 -1 1
46 289 -1 1
53 285 -1 1
317 280 -1 1
318 279 -1 1
466 278 -1 1
465 278 -1 1
157 278 -1 1
119 277 -1 1
388 273 -1 1
52 273 -1 1
51 273 -1 1
51 272 -1 1
381 272 -1 1
435 271 -1 1
434 270 -1 1
241 266 -1 1
181 266 -1 1
242 265 -1 1
57 264 -1 1
57 263 -1 1
254 262 -1 1
255 261 -1 1
156 261 -1 1
287 261 -1 1
254 261 -1 1
287 260 -1 1
349 260 -1 1
276 260 -1 1
359 259 -1 1
212 255 -1 1
134 251 -1 1
135 250 -1 1
45 248 -1 1
46 247 -1 1
319 245 -1 1
73 245 -1 1
307 245 -1 1
206 245 -1 1
48 245 -1 1
307 244 -1 1
206 244 -1 1
49 244 -1 1
137 244 -1 1
138 243 -1 1
430 242 -1 1
298 242 -1 1
429 241 -1 1
298 241 -1 1
195 239 -1 1
441 239 -1 1
288 239 -1 1
440 238 -1 1
288 238 -1 1
100 238 -1 1
189 237 -1 1
190 237 -1 1
437 236 -1 1
323 236 -1 1
436 235 -1 1
323 235 -1 1
434 234 -1 1
433 234 -1 1
434 233 -1 1
44 232 -1 1
299 230 -1 1
298 230 -1 1
63 230 -1 1
453 229 -1 1
299 229 -1 1
64 229 -1 1
246 226 -1 1
278 224 -1 1
277 224 -1 1
314 223 -1 1
314 222 -1 1
71 222 -1 1
133 222 -1 1
405 220 -1 1
319 220 -1 1
404 219 -1 1
319 219 -1 1
461 219 -1 1
461 218 -1 1
387 218 -1 1
289 215 -1 1
288 215 -1 1
288 214 -1 1
338 211 -1 1
115 210 -1 1
116 209 -1 1
437 205 -1 1
436 205 -1 1
390 204 -1 1
314 204 -1 1
301 204 -1 1
315 203 -1 1
302 203 -1 1
400 203 -1 1
106 203 -1 1
304 201 -1 1
64 201 -1 1
305 200 -1 1
65 200 -1 1
376 198 -1 1
375 197 -1 1
312 195 -1 1
312 194 -1 1
298 194 -1 1
337 193 -1 1
299 193 -1 1
408 192 -1 1
235 191 -1 1
236 190 -1 1
464 188 -1 1
464 187 -1 1
238 187 -1 1
216 187 -1 1
453 186 -1 1
365 186 -1 1
217 186 -1 1
452 186 -1 1
124 186 -1 1
323 185 -1 1
324 184 -1 1
263 184 -1 1
264 184 -1 1
159 183 -1 1
160 183 -1 1
355 182 -1 1
326 182 -1 1
314 182 -1 1
355 181 -1 1
327 181 -1 1
470 181 -1 1
42 181 -1 1
470 180 -1 1
43 180 -1 1
377 179 -1 1
115 179 -1 1
363 176 -1 1
176 176 -1 1
333 176 -1 1
320 176 -1 1
333 175 -1 1
321 175 -1 1
131 175 -1 1
132 174 -1 1
323 173 -1 1
324 172 -1 1
311 172 -1 1
121 172 -1 1
312 171 -1 1
156 171 -1 1
122 171 -1 1
157 171 -1 1
330 166 -1 1
331 165 -1 1
317 165 -1 1
295 165 -1 1
318 164 -1 1
296 164 -1 1
317 164 -1 1
131 159 -1 1
132 158 -1 1
339 157 -1 1
340 156 -1 1
187 156 -1 1
323 149 -1 1
324 149 -1 1
150 147 -1 1
336 147 -1 1
140 147 -1 1
337 146 -1 1
141 146 -1 1
220 146 -1 1
172 146 -1 1
173 145 -1 1
349 144 -1 1
350 143 -1 1
339 143 -1 1
340 142 -1 1
194 142 -1 1
195 142 -1 1
134 141 -1 1
135 140 -1 1
352 140 -1 1
382 138 -1 1
384 136 -1 1
387 134 -1 1
253 134 -1 1
387 133 -1 1
220 133 -1 1
220 132 -1 1
82 131 -1 1
143 131 -1 1
83 131 -1 1
144 130 -1 1
146 128 -1 1
339 127 -1 1
147 127 -1 1
340 127 -1 1
162 125 -1 1
73 125 -1 1
163 124 -1 1
74 124 -1 1
197 122 -1 1
198 121 -1 1
246 121 -1 1
165 121 -1 1
166 120 -1 1
252 119 -1 1
81 119 -1 1
390 118 -1 1
81 118 -1 1
183 114 -1 1
246 113 -1 1
292 112 -1 1
89 112 -1 1
293 111 -1 1
90 111 -1 1
247 110 -1 1
92 110 -1 1
92 109 -1 1
150 109 -1 1
151 108 -1 1
124 106 -1 1
125 105 -1 1
156 103 -1 1
115 103 -1 1
101 103 -1 1
86 103 -1 1
157 102 -1 1
116 102 -1 1
102 102 -1 1
87 102 -1 1
270 102 -1 1
254 100 -1 1
131 100 -1 1
118 100 -1 1
105 100 -1 1
132 99 -1 1
119 99 -1 1
106 99 -1 1
351 99 -1 1
272 99 -1 1
213 99 -1 1
214 98 -1 1
121 97 -1 1
108 97 -1 1
439 96 -1 1
122 96 -1 1
109 96 -1 1
364 95 -1 1
365 95 -1 1
424 93 -1 1
206 93 -1 1
425 92 -1 1
207 92 -1 1
163 92 -1 1
163 91 -1 1
418 87 -1 1
146 87 -1 1
147 86 -1 1
419 86 -1 1
171 84 -1 1
123 84 -1 1
111 84 -1 1
171 83 -1 1
112 83 -1 1
235 81 -1 1
236 81 -1 1
412 80 -1 1
413 79 -1 1
218 79 -1 1
178 77 -1 1
90 77 -1 1
178 76 -1 1
90 76 -1 1
396 74 -1 1
397 74 -1 1
278 74 -1 1
277 74 -1 1
241 74 -1 1
213 74 -1 1
242 73 -1 1
214 73 -1 1
199 73 -1 1
198 73 -1 1
197 73 -1 1
94 72 -1 1
399 71 -1 1
400 70 -1 1
101 68 -1 1
102 67 -1 1
219 67 -1 1
220 66 -1 1
137 65 -1 1
120 65 -1 1
138 64 -1 1
121 64 -1 1
323 62 -1 1
124 62 -1 1
324 61 -1 1
125 61 -1 1
212 59 -1 1
146 59 -1 1
212 58 -1 1
147 58 -1 1
216 56 -1 1
217 55 -1 1
170 55 -1 1
117 55 -1 1
118 54 -1 1
168 47 -1 1
192 46 -1 1
228 46 -1 1
193 46 -1 1
130 46 -1 1
229 45 -1 1
130 45 -1 1
115 44 -1 1
114 44 -1 1
114 43 -1 1
270 43 -1 1
271 42 -1 1
336 42 -1 1
337 41 -1 1
203 40 -1 1
