342 512 512
412 470 -1 1
424 467 -1 1
179 458 -1 1
422 454 -1 1
421 453 -1 1
120 453 -1 1
434 452 -1 1
400 451 -1 1
399 450 -1 1
462 444 -1 1
461 443 -1 1
447 440 -1 1
468 436 -1 1
455 436 -1 1
454 435 -1 1
453 435 -1 1
450 435 -1 1
445 435 -1 1
444 435 -1 1
114 434 -1 1
324 433 -1 1
129 432 -1 1
373 424 -1 1
445 422 -1 1
445 421 -1 1
344 420 -1 1
386 419 -1 1
417 419 -1 1
159 419 -1 1
417 418 -1 1
160 418 -1 1
159 418 -1 1
363 416 -1 1
259 416 -1 1
363 415 -1 1
84 415 -1 1
407 413 -1 1
79 413 -1 1
407 412 -1 1
285 412 -1 1
79 412 -1 1
393 411 -1 1
393 410 -1 1
392 410 -1 1
447 409 -1 1
465 407 -1 1
439 407 -1 1
435 407 -1 1
260 404 -1 1
259 404 -1 1
221 401 -1 1
61 401 -1 1
451 399 -1 1
319 399 -1 1
318 399 -1 1
452 398 -1 1
436 392 -1 1
175 391 -1 1
449 387 -1 1
287 379 -1 1
287 378 -1 1
470 376 -1 1
454 376 -1 1
470 375 -1 1
455 375 -1 1
454 375 -1 1
107 370 -1 1
467 366 -1 1
383 366 -1 1
205 364 -1 1
348 363 -1 1
167 348 -1 1
166 348 -1 1
167 347 -1 1
171 343 -1 1
110 340 -1 1
304 339 -1 1
110 339 -1 1
473 337 -1 1
417 328 -1 1
86 328 -1 1
86 327 -1 1
162 322 -1 1
463 322 -1 1
463 321 -1 1
462 321 -1 1
115 320 -1 1
112 320 -1 1
449 319 -1 1
180 319 -1 1
180 318 -1 1
303 317 -1 1
303 316 -1 1
302 316 -1 1
348 310 -1 1
347 310 -1 1
348 309 -1 1
473 306 -1 1
472 306 -1 1
212 306 -1 1
473 305 -1 1
271 304 -1 1
284 303 -1 1
271 303 -1 1
386 303 -1 1
385 303 -1 1
283 303 -1 1
462 302 -1 1
283 302 -1 1
385 302 -1 1
320 302 -1 1
319 302 -1 1
320 301 -1 1
350 301 -1 1
350 300 -1 1
349 300 -1 1
342 300 -1 1
273 300 -1 1
342 299 -1 1
381 298 -1 1
275 298 -1 1
382 298 -1 1
436 295 -1 1
437 294 -1 1
436 294 -1 1
276 294 -1 1
445 293 -1 1
444 293 -1 1
444 292 -1 1
467 289 -1 1
467 288 -1 1
466 288 -1 1
340 284 -1 1
190 283 -1 1
227 279 -1 1
361 262 -1 1
92 255 -1 1
263 255 -1 1
262 255 -1 1
262 254 -1 1
467 254 -1 1
466 254 -1 1
467 253 -1 1
218 253 -1 1
217 253 -1 1
217 252 -1 1
145 249 -1 1
146 248 -1 1
204 247 -1 1
320 243 -1 1
157 240 -1 1
470 237 -1 1
469 236 -1 1
470 236 -1 1
470 234 -1 1
418 233 -1 1
212 231 -1 1
115 230 -1 1
402 230 -1 1
172 227 -1 1
171 227 -1 1
171 226 -1 1
448 225 -1 1
354 220 -1 1
177 220 -1 1
463 219 -1 1
354 219 -1 1
177 219 -1 1
271 219 -1 1
315 218 -1 1
360 217 -1 1
360 216 -1 1
343 216 -1 1
456 215 -1 1
386 215 -1 1
366 214 -1 1
366 213 -1 1
206 208 -1 1
205 208 -1 1
177 208 -1 1
386 207 -1 1
177 207 -1 1
76 206 -1 1
139 205 -1 1
212 203 -1 1
447 202 -1 1
328 201 -1 1
118 201 -1 1
328 200 -1 1
119 200 -1 1
385 199 -1 1
105 199 -1 1
336 199 -1 1
107 198 -1 1
108 197 -1 1
376 196 -1 1
392 195 -1 1
111 195 -1 1
79 195 -1 1
62 195 -1 1
392 194 -1 1
112 194 -1 1
80 194 -1 1
62 194 -1 1
285 194 -1 1
126 194 -1 1
139 193 -1 1
395 192 -1 1
115 192 -1 1
116 191 -1 1
417 189 -1 1
257 189 -1 1
256 189 -1 1
219 187 -1 1
219 186 -1 1
453 185 -1 1
401 184 -1 1
402 184 -1 1
121 184 -1 1
122 183 -1 1
366 183 -1 1
99 182 -1 1
70 182 -1 1
100 181 -1 1
71 181 -1 1
88 179 -1 1
89 178 -1 1
244 177 -1 1
370 177 -1 1
243 177 -1 1
370 176 -1 1
371 176 -1 1
300 176 -1 1
105 176 -1 1
299 175 -1 1
106 175 -1 1
409 175 -1 1
410 174 -1 1
67 173 -1 1
393 172 -1 1
68 172 -1 1
260 172 -1 1
118 171 -1 1
119 171 -1 1
402 170 -1 1
276 168 -1 1
275 168 -1 1
452 167 -1 1
453 167 -1 1
433 166 -1 1
89 166 -1 1
432 165 -1 1
158 165 -1 1
90 165 -1 1
460 164 -1 1
123 163 -1 1
92 163 -1 1
79 163 -1 1
93 162 -1 1
80 162 -1 1
335 162 -1 1
303 162 -1 1
344 161 -1 1
83 160 -1 1
84 159 -1 1
349 158 -1 1
86 157 -1 1
87 156 -1 1
283 155 -1 1
340 154 -1 1
340 153 -1 1
197 152 -1 1
196 152 -1 1
196 151 -1 1
140 150 -1 1
141 150 -1 1
102 149 -1 1
103 149 -1 1
258 147 -1 1
54 144 -1 1
361 143 -1 1
55 143 -1 1
325 142 -1 1
471 133 -1 1
470 133 -1 1
102 131 -1 1
83 131 -1 1
103 130 -1 1
84 130 -1 1
304 128 -1 1
310 124 -1 1
45 122 -1 1
46 121 -1 1
316 120 -1 1
312 114 -1 1
311 114 -1 1
312 113 -1 1
148 112 -1 1
242 108 -1 1
242 107 -1 1
133 103 -1 1
293 102 -1 1
317 101 -1 1
315 97 -1 1
