115 512 512
327 372 -1 1
316 370 -1 1
310 370 -1 1
315 369 -1 1
314 369 -1 1
314 368 -1 1
309 362 -1 1
307 362 -1 1
308 362 -1 1
306 362 -1 1
302 357 -1 1
287 357 -1 1
332 357 -1 1
301 357 -1 1
289 356 -1 1
324 354 -1 1
324 353 -1 1
341 350 -1 1
246 349 -1 1
335 343 -1 1
335 342 -1 1
334 342 -1 1
337 342 -1 1
309 340 -1 1
290 340 -1 1
242 339 -1 1
300 338 -1 1
242 338 -1 1
346 337 -1 1
318 337 -1 1
298 337 -1 1
246 337 -1 1
245 337 -1 1
298 336 -1 1
245 336 -1 1
280 335 -1 1
241 335 -1 1
240 334 -1 1
273 331 -1 1
265 327 -1 1
304 326 -1 1
264 326 -1 1
240 326 -1 1
259 325 -1 1
240 325 -1 1
235 325 -1 1
234 325 -1 1
235 324 -1 1
347 324 -1 1
346 324 -1 1
259 324 -1 1
346 323 -1 1
246 323 -1 1
245 321 -1 1
242 320 -1 1
243 319 -1 1
242 319 -1 1
376 318 -1 1
252 318 -1 1
220 316 -1 1
219 316 -1 1
221 315 -1 1
220 315 -1 1
242 313 -1 1
261 312 -1 1
225 311 -1 1
337 309 -1 1
213 309 -1 1
235 306 -1 1
277 305 -1 1
328 304 -1 1
224 302 -1 1
251 299 -1 1
250 299 -1 1
251 298 -1 1
187 293 -1 1
323 290 -1 1
227 287 -1 1
421 272 -1 1
347 271 -1 1
260 260 -1 1
198 251 -1 1
197 251 -1 1
198 250 -1 1
205 247 -1 1
259 236 -1 1
390 236 -1 1
389 235 -1 1
381 235 -1 1
186 231 -1 1
216 230 -1 1
323 230 -1 1
325 224 -1 1
357 218 -1 1
347 214 -1 1
208 210 -1 1
139 207 -1 1
178 206 -1 1
179 205 -1 1
191 202 -1 1
190 202 -1 1
186 183 -1 1
228 174 -1 1
225 173 -1 1
227 172 -1 1
225 172 -1 1
268 164 -1 1
178 158 -1 1
177 158 -1 1
178 157 -1 1
165 154 -1 1
164 153 -1 1
165 153 -1 1
201 152 -1 1
208 144 -1 1
