2238 800 768
213 766 -1 1
192 766 -1 1
146 766 -1 1
128 766 -1 1
47 766 -1 1
26 766 -1 1
8 766 -1 1
397 765 -1 1
49 765 -1 2
48 765 -1 2
211 764 -1 2
48 764 -1 2
25 764 -1 2
10 764 -1 2
649 763 -1 1
641 763 -1 1
639 763 -1 1
628 763 -1 1
614 763 -1 1
489 763 -1 1
417 763 -1 1
401 763 -1 1
211 763 -1 2
210 763 -1 2
194 763 -1 2
142 763 -1 2
141 763 -1 2
139 763 -1 2
138 763 -1 2
137 763 -1 2
27 763 -1 1
26 763 -1 2
25 763 -1 2
24 763 -1 2
11 763 -1 2
796 762 -1 1
519 762 -1 2
518 762 -1 2
516 762 -1 2
416 762 -1 2
415 762 -1 2
414 762 -1 2
413 762 -1 2
405 762 -1 2
401 762 -1 2
209 762 -1 2
193 762 -1 2
192 762 -1 2
187 762 -1 2
186 762 -1 2
184 762 -1 1
141 762 -1 2
140 762 -1 2
138 762 -1 2
24 762 -1 2
661 761 -1 1
645 761 -1 1
633 761 -1 1
625 761 -1 1
620 761 -1 1
618 761 -1 1
610 761 -1 1
602 761 -1 1
533 761 -1 2
532 761 -1 2
531 761 -1 2
518 761 -1 2
517 761 -1 2
516 761 -1 2
515 761 -1 2
416 761 -1 2
415 761 -1 2
413 761 -1 2
412 761 -1 2
411 761 -1 2
410 761 -1 2
406 761 -1 2
405 761 -1 2
404 761 -1 2
402 761 -1 2
401 761 -1 2
242 761 -1 1
208 761 -1 2
207 761 -1 2
206 761 -1 2
192 761 -1 2
191 761 -1 2
186 761 -1 2
185 761 -1 2
141 761 -1 2
797 760 -1 1
795 760 -1 2
602 760 -1 2
587 760 -1 2
572 760 -1 2
571 760 -1 2
570 760 -1 2
569 760 -1 2
568 760 -1 2
567 760 -1 2
566 760 -1 2
565 760 -1 2
532 760 -1 2
410 760 -1 2
409 760 -1 2
401 760 -1 2
400 760 -1 2
399 760 -1 2
212 760 -1 1
209 760 -1 2
208 760 -1 2
207 760 -1 2
192 760 -1 2
185 760 -1 2
182 760 -1 1
141 760 -1 1
54 760 -1 1
796 759 -1 2
795 759 -1 2
794 759 -1 2
661 759 -1 2
641 759 -1 2
639 759 -1 2
633 759 -1 2
628 759 -1 2
625 759 -1 2
619 759 -1 2
614 759 -1 2
610 759 -1 2
603 759 -1 2
602 759 -1 2
601 759 -1 2
600 759 -1 2
594 759 -1 2
593 759 -1 2
592 759 -1 2
589 759 -1 2
588 759 -1 2
587 759 -1 2
586 759 -1 2
571 759 -1 2
568 759 -1 2
566 759 -1 2
410 759 -1 2
399 759 -1 2
207 759 -1 2
206 759 -1 2
192 759 -1 1
47 759 -1 1
15 759 -1 2
794 758 -1 2
793 758 -1 2
664 758 -1 2
663 758 -1 2
662 758 -1 2
661 758 -1 2
649 758 -1 2
645 758 -1 2
642 758 -1 2
641 758 -1 2
640 758 -1 2
639 758 -1 2
638 758 -1 2
634 758 -1 2
633 758 -1 2
632 758 -1 2
629 758 -1 2
628 758 -1 2
627 758 -1 2
626 758 -1 2
625 758 -1 2
624 758 -1 2
621 758 -1 2
620 758 -1 2
619 758 -1 2
618 758 -1 2
615 758 -1 2
614 758 -1 2
613 758 -1 2
611 758 -1 2
610 758 -1 2
609 758 -1 2
605 758 -1 2
604 758 -1 2
601 758 -1 2
593 758 -1 2
589 758 -1 2
587 758 -1 2
568 758 -1 1
566 758 -1 1
247 758 -1 1
240 758 -1 2
237 758 -1 1
208 758 -1 2
207 758 -1 2
199 758 -1 1
51 758 -1 1
16 758 -1 2
15 758 -1 2
14 758 -1 2
9 758 -1 1
692 757 -1 2
691 757 -1 2
690 757 -1 2
673 757 -1 2
672 757 -1 2
671 757 -1 2
663 757 -1 2
650 757 -1 2
649 757 -1 2
648 757 -1 2
646 757 -1 2
645 757 -1 2
644 757 -1 2
643 757 -1 2
642 757 -1 2
620 757 -1 2
589 757 -1 1
587 757 -1 1
240 757 -1 2
239 757 -1 2
238 757 -1 2
209 757 -1 2
207 757 -1 2
57 757 -1 1
19 757 -1 2
18 757 -1 2
723 756 -1 2
722 756 -1 2
721 756 -1 2
712 756 -1 2
711 756 -1 2
710 756 -1 2
706 756 -1 2
705 756 -1 2
704 756 -1 2
691 756 -1 2
672 756 -1 2
645 756 -1 2
642 756 -1 2
620 756 -1 1
601 756 -1 1
393 756 -1 1
239 756 -1 2
208 756 -1 2
62 756 -1 1
60 756 -1 2
59 756 -1 2
19 756 -1 2
758 755 -1 2
757 755 -1 2
756 755 -1 2
747 755 -1 2
746 755 -1 2
745 755 -1 2
743 755 -1 2
741 755 -1 2
722 755 -1 2
711 755 -1 2
705 755 -1 2
645 755 -1 1
409 755 -1 2
208 755 -1 1
113 755 -1 1
108 755 -1 1
59 755 -1 2
19 755 -1 2
789 754 -1 2
779 754 -1 2
778 754 -1 2
777 754 -1 2
774 754 -1 2
772 754 -1 2
757 754 -1 2
746 754 -1 2
742 754 -1 2
662 754 -1 1
642 754 -1 1
408 754 -1 2
396 754 -1 2
247 754 -1 1
237 754 -1 1
116 754 -1 1
103 754 -1 1
59 754 -1 2
19 754 -1 2
18 754 -1 2
10 754 -1 1
778 753 -1 2
773 753 -1 2
671 753 -1 1
396 753 -1 2
395 753 -1 2
389 753 -1 1
234 753 -1 2
233 753 -1 2
206 753 -1 1
104 753 -1 2
60 753 -1 2
59 753 -1 2
30 753 -1 1
690 752 -1 1
396 752 -1 2
385 752 -1 1
233 752 -1 2
232 752 -1 2
231 752 -1 1
108 752 -1 2
105 752 -1 2
104 752 -1 2
103 752 -1 2
101 752 -1 1
61 752 -1 1
56 752 -1 1
20 752 -1 2
710 751 -1 1
705 751 -1 1
380 751 -1 1
233 751 -1 2
213 751 -1 2
167 751 -1 1
108 751 -1 2
107 751 -1 2
106 751 -1 2
105 751 -1 2
52 751 -1 1
50 751 -1 1
25 751 -1 2
24 751 -1 2
23 751 -1 2
21 751 -1 2
20 751 -1 2
721 750 -1 1
382 750 -1 2
381 750 -1 2
376 750 -1 1
370 750 -1 1
344 750 -1 1
341 750 -1 1
