748 800 768
51 240 -1 1
49 239 -1 1
56 232 -1 1
52 232 -1 2
51 232 -1 2
50 232 -1 2
53 231 -1 2
52 231 -1 2
51 231 -1 2
50 231 -1 2
52 230 -1 2
51 230 -1 2
39 228 -1 1
38 227 -1 2
36 227 -1 1
53 226 -1 2
52 226 -1 2
51 226 -1 2
49 226 -1 1
42 226 -1 1
38 226 -1 2
37 226 -1 2
54 225 -1 2
53 225 -1 2
52 225 -1 2
38 225 -1 2
55 224 -1 2
54 224 -1 2
45 224 -1 2
754 223 -1 2
753 223 -1 2
56 223 -1 1
46 223 -1 2
45 223 -1 2
759 222 -1 1
755 222 -1 2
753 222 -1 2
46 222 -1 2
32 222 -1 1
759 221 -1 1
754 221 -1 2
33 221 -1 2
749 220 -1 1
745 220 -1 1
35 220 -1 2
34 220 -1 2
33 220 -1 2
32 220 -1 2
750 219 -1 2
747 219 -1 2
44 219 -1 2
40 219 -1 2
39 219 -1 2
35 219 -1 2
34 219 -1 2
33 219 -1 2
29 219 -1 1
21 219 -1 1
750 218 -1 2
749 218 -1 2
748 218 -1 2
747 218 -1 2
746 218 -1 2
45 218 -1 2
44 218 -1 2
43 218 -1 2
41 218 -1 2
40 218 -1 2
39 218 -1 2
30 218 -1 2
23 218 -1 2
22 218 -1 2
750 217 -1 2
749 217 -1 2
748 217 -1 2
746 217 -1 2
61 217 -1 2
60 217 -1 2
55 217 -1 1
54 217 -1 1
46 217 -1 2
44 217 -1 2
42 217 -1 2
41 217 -1 2
39 217 -1 2
31 217 -1 2
30 217 -1 2
29 217 -1 2
24 217 -1 2
23 217 -1 2
750 216 -1 2
748 216 -1 2
747 216 -1 2
46 216 -1 2
45 216 -1 2
32 216 -1 2
31 216 -1 2
26 216 -1 2
24 216 -1 2
750 215 -1 2
749 215 -1 2
746 215 -1 1
32 215 -1 2
27 215 -1 2
26 215 -1 2
25 215 -1 2
762 214 -1 2
761 214 -1 2
760 214 -1 2
61 214 -1 2
57 214 -1 2
56 214 -1 2
33 214 -1 1
26 214 -1 2
762 213 -1 2
761 213 -1 2
759 213 -1 2
757 213 -1 1
61 213 -1 2
58 213 -1 2
57 213 -1 2
54 213 -1 1
43 213 -1 1
35 213 -1 2
763 212 -1 2
762 212 -1 2
758 212 -1 2
755 212 -1 1
61 212 -1 2
60 212 -1 2
59 212 -1 2
56 212 -1 2
55 212 -1 2
36 212 -1 2
34 212 -1 2
764 211 -1 2
763 211 -1 2
757 211 -1 2
756 211 -1 2
752 211 -1 1
61 211 -1 2
60 211 -1 2
56 211 -1 2
55 211 -1 2
36 211 -1 2
35 211 -1 2
34 211 -1 2
33 211 -1 2
757 210 -1 2
756 210 -1 2
55 210 -1 2
45 210 -1 1
36 210 -1 2
34 210 -1 2
758 209 -1 1
756 209 -1 2
755 209 -1 2
752 209 -1 1
60 209 -1 2
37 209 -1 2
36 209 -1 2
35 209 -1 2
22 209 -1 2
760 208 -1 1
61 208 -1 2
59 208 -1 2
22 208 -1 2
21 208 -1 2
761 207 -1 1
62 207 -1 2
61 207 -1 2
60 207 -1 2
59 207 -1 2
22 207 -1 2
21 207 -1 2
61 206 -1 2
60 206 -1 2
59 206 -1 2
58 206 -1 2
22 206 -1 2
21 206 -1 2
61 205 -1 2
59 205 -1 2
749 204 -1 1
61 204 -1 2
60 204 -1 2
58 204 -1 1
775 203 -1 1
774 203 -1 1
748 203 -1 1
62 203 -1 2
54 203 -1 1
62 202 -1 2
61 202 -1 2
53 202 -1 2
54 201 -1 2
53 201 -1 2
773 200 -1 1
772 200 -1 1
767 200 -1 1
55 200 -1 2
770 199 -1 1
767 199 -1 2
765 199 -1 1
64 199 -1 1
56 199 -1 2
55 199 -1 2
63 198 -1 2
61 198 -1 1
43 198 -1 2
40 198 -1 1
37 198 -1 2
36 198 -1 2
34 198 -1 1
63 197 -1 2
62 197 -1 2
43 197 -1 2
42 197 -1 2
40 197 -1 2
37 197 -1 2
36 197 -1 2
35 197 -1 2
778 196 -1 1
775 196 -1 2
774 196 -1 2
771 196 -1 1
58 196 -1 2
56 196 -1 1
52 196 -1 2
42 196 -1 2
41 196 -1 2
40 196 -1 2
38 196 -1 2
37 196 -1 2
778 195 -1 1
775 195 -1 2
774 195 -1 2
773 195 -1 2
67 195 -1 1
63 195 -1 2
62 195 -1 2
59 195 -1 2
58 195 -1 2
57 195 -1 2
54 195 -1 2
53 195 -1 2
52 195 -1 2
51 195 -1 2
43 195 -1 2
42 195 -1 2
39 195 -1 2
38 195 -1 2
69 194 -1 1
62 194 -1 2
61 194 -1 2
60 194 -1 2
58 194 -1 2
57 194 -1 2
54 194 -1 2
53 194 -1 2
52 194 -1 2
44 194 -1 2
42 194 -1 2
37 194 -1 2
34 194 -1 1
62 193 -1 2
61 193 -1 2
60 193 -1 2
56 193 -1 2
55 193 -1 2
54 193 -1 2
45 193 -1 2
44 193 -1 2
43 193 -1 2
38 193 -1 2
37 193 -1 2
36 193 -1 2
31 193 -1 2
778 192 -1 2
63 192 -1 2
62 192 -1 2
57 192 -1 2
56 192 -1 2
55 192 -1 2
54 192 -1 2
53 192 -1 2
46 192 -1 2
45 192 -1 2
35 192 -1 2
34 192 -1 2
32 192 -1 2
31 192 -1 2
779 191 -1 2
777 191 -1 2
57 191 -1 2
55 191 -1 2
54 191 -1 2
53 191 -1 2
34 191 -1 2
33 191 -1 2
779 190 -1 2
778 190 -1 2
777 190 -1 2
63 190 -1 1
57 190 -1 1
55 190 -1 2
54 190 -1 2
