5021 800 768
571 766 -1 1
519 766 -1 1
517 766 -1 1
516 766 -1 1
514 766 -1 1
510 766 -1 1
508 766 -1 1
503 766 -1 1
501 766 -1 1
499 766 -1 2
15 766 -1 1
8 766 -1 1
6 766 -1 1
1 766 -1 1
572 765 -1 1
536 765 -1 2
498 765 -1 2
10 765 -1 1
7 765 -1 2
1 765 -1 2
557 764 -1 2
554 764 -1 1
532 764 -1 2
531 764 -1 2
497 764 -1 1
8 764 -1 2
3 764 -1 2
2 764 -1 2
556 763 -1 2
531 763 -1 2
530 763 -1 2
529 763 -1 2
527 763 -1 2
526 763 -1 2
504 763 -1 1
9 763 -1 2
8 763 -1 2
4 763 -1 2
3 763 -1 2
579 762 -1 1
555 762 -1 1
532 762 -1 1
529 762 -1 2
528 762 -1 2
527 762 -1 2
526 762 -1 2
525 762 -1 2
494 762 -1 2
11 762 -1 2
9 762 -1 2
8 762 -1 2
7 762 -1 2
2 762 -1 1
545 761 -1 1
529 761 -1 2
526 761 -1 2
506 761 -1 1
11 761 -1 2
10 761 -1 2
577 760 -1 1
549 760 -1 1
523 760 -1 2
497 760 -1 2
496 760 -1 2
11 760 -1 2
589 759 -1 1
588 759 -1 1
552 759 -1 1
15 759 -1 1
11 759 -1 2
551 758 -1 2
549 758 -1 2
528 758 -1 1
515 758 -1 1
506 758 -1 1
13 758 -1 2
12 758 -1 2
8 758 -1 2
7 758 -1 2
573 757 -1 1
572 757 -1 1
550 757 -1 2
534 757 -1 1
511 757 -1 1
20 757 -1 2
19 757 -1 2
12 757 -1 2
7 757 -1 2
551 756 -1 2
535 756 -1 1
523 756 -1 1
517 756 -1 1
504 756 -1 2
20 756 -1 2
19 756 -1 2
13 756 -1 2
526 755 -1 1
511 755 -1 1
503 755 -1 2
23 755 -1 1
20 755 -1 2
14 755 -1 2
13 755 -1 2
579 754 -1 1
20 754 -1 2
19 754 -1 2
13 754 -1 2
2 754 -1 2
1 754 -1 2
578 753 -1 1
569 753 -1 1
554 753 -1 1
512 753 -1 1
21 753 -1 2
2 753 -1 2
520 752 -1 1
506 752 -1 1
498 752 -1 1
620 751 -1 1
613 751 -1 1
605 751 -1 1
541 751 -1 1
515 751 -1 2
514 751 -1 2
507 751 -1 1
501 751 -1 1
621 750 -1 1
611 750 -1 1
606 750 -1 1
572 750 -1 1
530 750 -1 2
521 750 -1 2
515 750 -1 2
500 750 -1 2
22 750 -1 2
10 750 -1 2
4 750 -1 2
537 749 -1 1
525 749 -1 1
516 749 -1 2
515 749 -1 2
512 749 -1 2
511 749 -1 2
510 749 -1 1
499 749 -1 1
23 749 -1 2
22 749 -1 2
10 749 -1 2
9 749 -1 2
6 749 -1 2
5 749 -1 2
4 749 -1 2
3 749 -1 2
606 748 -1 1
595 748 -1 1
577 748 -1 1
519 748 -1 2
515 748 -1 2
514 748 -1 2
513 748 -1 2
512 748 -1 2
22 748 -1 2
10 748 -1 2
5 748 -1 2
1 748 -1 1
604 747 -1 1
592 747 -1 1
556 747 -1 1
540 747 -1 1
538 747 -1 1
524 747 -1 1
519 747 -1 1
516 747 -1 1
514 747 -1 2
27 747 -1 1
557 746 -1 1
528 746 -1 1
526 746 -1 1
609 745 -1 1
586 745 -1 1
581 745 -1 1
528 745 -1 1
4 745 -1 2
612 744 -1 1
543 744 -1 1
20 744 -1 2
4 744 -1 2
3 744 -1 2
2 744 -1 1
592 743 -1 1
584 743 -1 2
583 743 -1 1
547 743 -1 1
512 743 -1 1
24 743 -1 2
23 743 -1 2
21 743 -1 2
20 743 -1 2
4 743 -1 2
600 742 -1 1
599 742 -1 1
591 742 -1 1
589 742 -1 1
546 742 -1 2
524 742 -1 1
507 742 -1 2
33 742 -1 2
24 742 -1 2
20 742 -1 2
566 741 -1 1
561 741 -1 2
560 741 -1 2
32 741 -1 2
30 741 -1 1
19 741 -1 2
15 741 -1 2
6 741 -1 2
592 740 -1 1
560 740 -1 2
559 740 -1 2
557 740 -1 1
545 740 -1 2
540 740 -1 1
33 740 -1 2
32 740 -1 2
31 740 -1 2
19 740 -1 2
18 740 -1 2
16 740 -1 2
15 740 -1 2
7 740 -1 2
6 740 -1 2
611 739 -1 1
609 739 -1 1
592 739 -1 1
560 739 -1 2
557 739 -1 1
545 739 -1 2
544 739 -1 2
540 739 -1 2
538 739 -1 2
527 739 -1 1
513 739 -1 2
35 739 -1 1
32 739 -1 2
19 739 -1 2
9 739 -1 2
8 739 -1 2
612 738 -1 1
543 738 -1 2
542 738 -1 2
541 738 -1 2
539 738 -1 2
514 738 -1 1
31 738 -1 2
23 738 -1 1
13 738 -1 2
12 738 -1 2
10 738 -1 2
9 738 -1 2
606 737 -1 1
585 737 -1 1
580 737 -1 1
571 737 -1 1
568 737 -1 2
563 737 -1 1
556 737 -1 1
550 737 -1 1
542 737 -1 2
511 737 -1 1
31 737 -1 2
22 737 -1 2
21 737 -1 2
13 737 -1 2
7 737 -1 1
570 736 -1 2
569 736 -1 2
568 736 -1 2
567 736 -1 2
563 736 -1 2
561 736 -1 2
549 736 -1 2
548 736 -1 2
538 736 -1 2
533 736 -1 1
22 736 -1 2
21 736 -1 2
13 736 -1 2
12 736 -1 2
591 735 -1 1
570 735 -1 2
565 735 -1 2
564 735 -1 2
562 735 -1 2
561 735 -1 2
558 735 -1 2
550 735 -1 2
549 735 -1 2
538 735 -1 2
537 735 -1 2
534 735 -1 1
26 735 -1 1
21 735 -1 2
13 735 -1 2
592 734 -1 1
564 734 -1 2
563 734 -1 2
562 734 -1 2
561 734 -1 2
560 734 -1 2
559 734 -1 2
558 734 -1 2
551 734 -1 2
550 734 -1 2
549 734 -1 2
537 734 -1 2
526 734 -1 1
525 734 -1 1
522 734 -1 1
30 734 -1 2
20 734 -1 1
4 734 -1 2
3 734 -1 2
565 733 -1 2
562 733 -1 2
560 733 -1 2
558 733 -1 2
557 733 -1 2
556 733 -1 1
552 733 -1 1
548 733 -1 1
31 733 -1 2
30 733 -1 2
25 733 -1 2
4 733 -1 2
3 733 -1 2
574 732 -1 1
568 732 -1 1
562 732 -1 1
536 732 -1 1
521 732 -1 1
30 732 -1 2
13 732 -1 1
4 732 -1 2
3 732 -1 2
595 731 -1 1
568 731 -1 1
543 731 -1 1
32 731 -1 1
29 731 -1 2
28 731 -1 2
27 731 -1 2
596 730 -1 1
533 730 -1 1
28 730 -1 2
7 730 -1 2
6 730 -1 2
552 729 -1 1
23 729 -1 1
6 729 -1 2
5 729 -1 2
4 729 -1 1
604 728 -1 1
551 728 -1 1
543 728 -1 1
538 728 -1 1
29 728 -1 2
12 728 -1 1
597 727 -1 1
574 727 -1 1
555 727 -1 2
30 727 -1 2
29 727 -1 2
11 727 -1 2
10 727 -1 2
605 726 -1 2
597 726 -1 1
566 726 -1 1
564 726 -1 1
538 726 -1 1
31 726 -1 2
29 726 -1 2
13 726 -1 1
12 726 -1 2
11 726 -1 2
10 726 -1 2
605 725 -1 2
591 725 -1 1
590 725 -1 1
579 725 -1 1
575 725 -1 1
571 725 -1 1
565 725 -1 2
560 725 -1 1
549 725 -1 1
31 725 -1 1
11 725 -1 2
580 724 -1 2
573 724 -1 1
564 724 -1 1
560 724 -1 1
552 724 -1 1
534 724 -1 1
12 724 -1 1
698 723 -1 1
623 723 -1 1
597 723 -1 1
580 723 -1 2
546 723 -1 1
27 723 -1 1
10 723 -1 2
695 722 -1 1
623 722 -1 1
612 722 -1 1
601 722 -1 1
600 722 -1 1
598 722 -1 1
581 722 -1 2
566 722 -1 1
551 722 -1 1
9 722 -1 2
8 722 -1 1
610 721 -1 2
609 721 -1 2
580 721 -1 1
545 721 -1 1
568 720 -1 2
549 720 -1 2
547 720 -1 2
10 720 -1 1
2 720 -1 1
628 719 -1 1
598 719 -1 2
597 719 -1 2
584 719 -1 2
570 719 -1 2
569 719 -1 2
568 719 -1 2
550 719 -1 2
549 719 -1 2
548 719 -1 2
546 719 -1 1
532 719 -1 1
701 718 -1 1
628 718 -1 1
599 718 -1 2
598 718 -1 2
596 718 -1 1
585 718 -1 2
584 718 -1 2
571 718 -1 2
570 718 -1 2
549 718 -1 2
532 718 -1 1
528 718 -1 1
9 718 -1 2
706 717 -1 1
600 717 -1 1
598 717 -1 2
586 717 -1 2
585 717 -1 2
571 717 -1 2
570 717 -1 2
529 717 -1 2
525 717 -1 1
10 717 -1 2
9 717 -1 2
8 717 -1 2
7 717 -1 2
3 717 -1 2
705 716 -1 1
700 716 -1 1
596 716 -1 1
585 716 -1 2
577 716 -1 2
571 716 -1 2
570 716 -1 2
569 716 -1 2
549 716 -1 2
529 716 -1 2
528 716 -1 2
11 716 -1 2
10 716 -1 2
8 716 -1 2
3 716 -1 2
2 716 -1 2
1 716 -1 1
584 715 -1 1
577 715 -1 2
576 715 -1 2
573 715 -1 2
572 715 -1 2
553 715 -1 1
550 715 -1 2
549 715 -1 2
543 715 -1 1
541 715 -1 1
529 715 -1 2
11 715 -1 2
7 715 -1 1
616 714 -1 1
590 714 -1 1
579 714 -1 1
578 714 -1 2
577 714 -1 2
572 714 -1 2
564 714 -1 2
563 714 -1 2
549 714 -1 2
548 714 -1 2
545 714 -1 1
541 714 -1 2
529 714 -1 2
645 713 -1 1
577 713 -1 2
563 713 -1 2
553 713 -1 2
542 713 -1 2
541 713 -1 2
540 713 -1 2
530 713 -1 2
529 713 -1 2
528 713 -1 2
644 712 -1 1
616 712 -1 1
607 712 -1 1
590 712 -1 1
577 712 -1 1
554 712 -1 2
538 712 -1 1
528 712 -1 2
606 711 -1 1
582 711 -1 1
571 711 -1 2
558 711 -1 2
556 711 -1 2
527 711 -1 1
647 710 -1 1
603 710 -1 1
590 710 -1 2
576 710 -1 1
572 710 -1 2
571 710 -1 2
570 710 -1 2
563 710 -1 2
557 710 -1 2
16 710 -1 2
15 710 -1 2
615 709 -1 1
612 709 -1 1
611 709 -1 1
607 709 -1 1
605 709 -1 1
594 709 -1 2
593 709 -1 2
591 709 -1 2
590 709 -1 2
589 709 -1 2
588 709 -1 1
584 709 -1 1
564 709 -1 2
563 709 -1 2
557 709 -1 1
16 709 -1 2
14 709 -1 1
646 708 -1 1
616 708 -1 1
593 708 -1 2
592 708 -1 2
574 708 -1 2
565 708 -1 2
564 708 -1 2
562 708 -1 1
595 707 -1 1
593 707 -1 2
573 707 -1 1
564 707 -1 2
551 707 -1 2
548 707 -1 1
610 706 -1 2
594 706 -1 2
593 706 -1 2
592 706 -1 2
584 706 -1 1
581 706 -1 1
552 706 -1 2
551 706 -1 2
