3016 800 768
593 766 -1 1
338 766 -1 1
333 766 -1 1
327 766 -1 1
250 766 -1 1
797 765 -1 1
346 765 -1 1
2 765 -1 1
335 764 -1 1
322 764 -1 1
344 763 -1 2
343 763 -1 2
324 763 -1 2
323 763 -1 2
344 762 -1 2
323 762 -1 2
604 761 -1 2
343 761 -1 1
323 761 -1 2
605 760 -1 2
604 760 -1 2
324 760 -1 2
323 760 -1 2
322 760 -1 2
603 759 -1 1
335 759 -1 1
328 759 -1 2
329 758 -1 2
328 758 -1 2
327 758 -1 2
340 757 -1 1
333 757 -1 2
327 757 -1 2
227 757 -1 2
333 756 -1 2
332 756 -1 2
318 756 -1 2
314 756 -1 1
296 756 -1 1
616 755 -1 2
319 755 -1 2
318 755 -1 2
295 755 -1 1
291 755 -1 1
338 754 -1 2
337 754 -1 1
325 754 -1 1
318 754 -1 2
317 754 -1 2
315 754 -1 2
291 754 -1 1
343 753 -1 1
310 753 -1 1
230 753 -1 1
623 752 -1 2
312 752 -1 2
311 752 -1 2
214 752 -1 2
213 752 -1 2
328 751 -1 1
213 751 -1 2
212 751 -1 2
338 750 -1 1
339 749 -1 2
633 748 -1 2
632 748 -1 2
608 748 -1 1
338 748 -1 1
634 747 -1 2
633 747 -1 2
632 747 -1 2
329 747 -1 1
325 747 -1 1
322 747 -1 1
316 747 -1 2
201 747 -1 2
200 747 -1 2
317 746 -1 2
316 746 -1 2
200 746 -1 2
199 746 -1 2
341 745 -1 1
308 745 -1 1
267 745 -1 1
337 744 -1 1
312 744 -1 1
282 744 -1 1
266 744 -1 1
614 743 -1 1
336 743 -1 2
320 743 -1 1
310 743 -1 2
309 743 -1 2
284 743 -1 1
219 743 -1 1
647 742 -1 2
646 742 -1 2
336 742 -1 2
335 742 -1 2
334 742 -1 2
319 742 -1 1
188 742 -1 2
187 742 -1 2
648 741 -1 2
647 741 -1 2
260 741 -1 1
187 741 -1 2
186 741 -1 2
319 740 -1 1
621 739 -1 1
332 739 -1 2
321 739 -1 1
332 738 -1 2
331 738 -1 2
330 738 -1 1
318 738 -1 1
257 738 -1 1
642 737 -1 2
641 737 -1 2
337 737 -1 2
332 737 -1 2
319 737 -1 1
175 737 -1 2
174 737 -1 2
641 736 -1 2
640 736 -1 2
333 736 -1 2
326 736 -1 1
265 736 -1 1
253 736 -1 1
174 736 -1 2
173 736 -1 2
640 735 -1 2
639 735 -1 2
263 735 -1 1
663 734 -1 2
662 734 -1 2
639 734 -1 2
638 734 -1 2
637 734 -1 2
279 734 -1 1
277 734 -1 1
253 734 -1 1
209 734 -1 1
662 733 -1 2
661 733 -1 2
638 733 -1 2
636 733 -1 2
327 733 -1 1
323 733 -1 2
321 733 -1 1
668 732 -1 2
667 732 -1 2
637 732 -1 2
635 732 -1 2
326 732 -1 1
324 732 -1 1
309 732 -1 1
667 731 -1 2
636 731 -1 2
339 731 -1 2
286 731 -1 1
160 731 -1 2
339 730 -1 2
338 730 -1 2
310 730 -1 2
630 729 -1 1
337 729 -1 2
336 729 -1 2
314 729 -1 1
310 729 -1 2
289 729 -1 1
336 728 -1 2
311 728 -1 2
310 728 -1 2
309 728 -1 2
341 727 -1 1
329 727 -1 1
310 727 -1 2
306 727 -1 1
310 726 -1 2
147 726 -1 2
630 725 -1 1
317 725 -1 1
310 725 -1 2
309 725 -1 2
308 725 -1 1
284 725 -1 1
199 725 -1 1
332 724 -1 2
330 724 -1 2
310 724 -1 2
283 724 -1 1
332 723 -1 2
331 723 -1 2
330 723 -1 2
321 723 -1 1
320 723 -1 2
691 722 -1 2
690 722 -1 2
331 722 -1 2
135 722 -1 2
134 722 -1 2
690 721 -1 2
331 721 -1 1
309 721 -1 2
134 721 -1 2
133 721 -1 2
695 720 -1 2
694 720 -1 2
309 720 -1 2
308 720 -1 2
283 720 -1 1
696 719 -1 2
695 719 -1 2
637 719 -1 1
338 719 -1 1
283 719 -1 1
699 718 -1 2
698 718 -1 2
306 718 -1 1
698 717 -1 2
324 716 -1 1
314 716 -1 2
189 716 -1 1
120 716 -1 2
332 714 -1 1
322 714 -1 1
652 713 -1 2
652 712 -1 2
651 712 -1 2
650 712 -1 2
320 712 -1 1
651 711 -1 2
319 711 -1 1
107 711 -1 2
690 709 -1 2
646 709 -1 1
316 709 -1 1
690 708 -1 2
689 708 -1 2
328 708 -1 1
689 707 -1 2
688 707 -1 2
328 707 -1 1
302 707 -1 1
179 707 -1 1
688 706 -1 2
687 706 -1 2
649 706 -1 1
302 706 -1 1
94 706 -1 2
687 705 -1 2
686 705 -1 2
261 705 -1 1
731 704 -1 2
686 704 -1 2
685 704 -1 2
337 704 -1 1
329 704 -1 1
275 704 -1 1
259 704 -1 1
735 703 -1 2
734 703 -1 2
686 703 -1 2
305 703 -1 1
735 702 -1 2
323 702 -1 1
305 702 -1 1
331 701 -1 2
326 701 -1 1
273 701 -1 1
81 701 -1 2
80 701 -1 2
336 700 -1 1
332 700 -1 2
331 700 -1 2
265 700 -1 1
81 700 -1 2
657 699 -1 1
307 699 -1 1
273 699 -1 1
258 699 -1 1
272 698 -1 1
265 698 -1 2
169 698 -1 1
330 697 -1 2
266 697 -1 1
71 697 -1 2
70 697 -1 2
736 696 -1 2
331 696 -1 2
330 696 -1 2
327 696 -1 1
308 696 -1 2
260 696 -1 2
70 696 -1 2
737 695 -1 2
735 695 -1 2
657 695 -1 1
330 695 -1 2
325 695 -1 1
315 695 -1 1
308 695 -1 2
307 695 -1 2
304 695 -1 1
259 695 -1 1
737 694 -1 2
736 694 -1 2
735 694 -1 2
734 694 -1 2
733 694 -1 2
316 694 -1 1
308 694 -1 2
69 694 -1 2
734 693 -1 2
732 693 -1 2
69 693 -1 2
68 693 -1 2
733 692 -1 2
731 692 -1 2
330 692 -1 2
268 692 -1 1
68 692 -1 2
732 691 -1 2
330 691 -1 2
311 691 -1 1
298 691 -1 1
329 690 -1 2
328 690 -1 2
327 690 -1 1
324 690 -1 1
312 690 -1 1
664 689 -1 1
329 689 -1 2
315 689 -1 1
159 689 -1 1
320 688 -1 2
319 688 -1 2
317 688 -1 2
304 688 -1 2
300 688 -1 2
299 688 -1 2
319 687 -1 2
304 687 -1 2
303 687 -1 2
299 687 -1 2
298 687 -1 2
297 687 -1 1
304 686 -1 2
269 686 -1 1
672 685 -1 1
322 685 -1 1
314 685 -1 2
305 685 -1 2
304 685 -1 2
314 684 -1 2
331 683 -1 1
307 683 -1 2
742 682 -1 2
315 682 -1 1
307 682 -1 2
742 681 -1 2
741 681 -1 2
322 681 -1 1
296 681 -1 1
