1409 800 768
12 719 -1 2
12 718 -1 2
11 718 -1 2
9 718 -1 1
11 717 -1 2
10 717 -1 2
10 716 -1 2
9 716 -1 2
11 715 -1 2
9 715 -1 2
12 714 -1 2
11 714 -1 2
10 713 -1 1
14 708 -1 2
13 708 -1 2
9 708 -1 2
16 707 -1 1
10 707 -1 2
9 707 -1 2
8 707 -1 2
7 707 -1 2
17 706 -1 1
10 706 -1 2
8 706 -1 2
10 705 -1 2
12 704 -1 2
11 704 -1 2
10 704 -1 2
9 704 -1 2
13 703 -1 2
12 703 -1 2
9 703 -1 2
14 702 -1 2
13 702 -1 2
12 702 -1 2
14 701 -1 2
12 701 -1 2
9 701 -1 1
12 700 -1 2
10 700 -1 2
11 699 -1 2
10 699 -1 2
9 699 -1 2
8 699 -1 1
14 698 -1 2
11 698 -1 2
15 697 -1 2
14 697 -1 2
17 696 -1 1
9 696 -1 2
7 696 -1 2
17 695 -1 1
9 695 -1 2
8 695 -1 2
9 694 -1 2
9 693 -1 2
10 692 -1 2
11 691 -1 2
9 691 -1 2
15 690 -1 1
14 690 -1 1
10 687 -1 2
10 686 -1 2
16 684 -1 1
17 681 -1 2
15 681 -1 2
17 680 -1 2
16 680 -1 2
15 680 -1 2
16 679 -1 2
12 679 -1 2
11 679 -1 2
11 678 -1 2
10 677 -1 2
11 676 -1 2
10 676 -1 2
12 675 -1 2
11 675 -1 2
13 674 -1 2
10 674 -1 2
14 673 -1 2
15 672 -1 2
16 671 -1 2
15 671 -1 2
16 670 -1 2
14 670 -1 2
13 670 -1 2
13 669 -1 2
12 669 -1 2
12 668 -1 2
11 668 -1 2
11 667 -1 2
15 665 -1 2
16 664 -1 2
15 664 -1 2
14 664 -1 2
12 664 -1 2
17 663 -1 2
16 663 -1 2
14 663 -1 2
13 663 -1 2
11 663 -1 2
16 662 -1 2
13 662 -1 2
12 662 -1 2
16 661 -1 2
12 661 -1 2
11 661 -1 2
10 659 -1 2
16 658 -1 2
11 658 -1 2
10 658 -1 2
16 657 -1 2
15 657 -1 2
12 657 -1 2
11 657 -1 2
9 657 -1 1
16 656 -1 2
13 656 -1 2
12 656 -1 2
15 655 -1 2
14 655 -1 2
13 655 -1 2
15 654 -1 2
14 654 -1 2
8 654 -1 2
16 653 -1 2
15 653 -1 2
9 653 -1 2
8 653 -1 2
7 653 -1 2
